organism_name,assembly_accession,refseq_category,excluded_from_refseq,bioproject,biosample,wgs_master,taxid,species_taxid,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,Order/Family,Common Name,Wild,Capt.,M/F,Reference
Antechinus flavipes,GCA_016432865.2,representative genome,na,PRJNA565840,SAMN16807749,JADWMD000000000.1,38775,38775,"ecotype=Samford, QLD, Australia",AdamAnt,latest,Chromosome,Minor,Full,2021-01-06,AdamAnt_v2,Nanjing Normal University,GCF_016432865.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/432/865/GCA_016432865.2_AdamAnt_v2,na,na,haploid,vertebrate_mammalian,,,36.0,7.0,485.0,485.0,Nanjing Normal University,Annotation submitted by Nanjing Normal University,,0.0,0.0,0.0,na, ,Yellow-footed marsupial mouse,1.0,,m,[100]
Antechinus stuartii,GCA_016696395.1,representative genome,na,PRJNA664282,SAMN16204884,JACYGW000000000.1,9283,9283,na,AWGG2019M,latest,Scaffold,Major,Full,2021-01-15,USYD_AStu_M,University of Sydney,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/696/395/GCA_016696395.1_USYD_AStu_M,na,na,haploid,vertebrate_mammalian,,,36.0,0.0,30796.0,106199.0,University of Sydney,Annotation submitted by University of Sydney,,0.0,0.0,0.0,na, ,Brown antechinus,0.9,,m,[192] [261]
Antidorcas marsupialis,GCA_006408585.1,representative genome,na,PRJNA438286,SAMN08714490,SJYB00000000.1,59523,59523,na,SGB-9149,latest,Scaffold,Major,Full,2019-06-24,SGB,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/585/GCA_006408585.1_SGB,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,94522.0,94522.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Springbok,20.0,,x,[100]
Antilocapra americana,GCA_007570785.1,representative genome,na,PRJNA526246,SAMN11091591,SRVM00000000.1,9891,9891,na,GAN:MWC17-00274,latest,Scaffold,Major,Full,2019-07-12,GSC_phorn_1.0,Canada's Genomic Enterprise,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/570/785/GCA_007570785.1_GSC_phorn_1.0,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,22440.0,48443.0,Canada's Genomic Enterprise,Annotation submitted by Canada's Genomic Enterprise,,0.0,0.0,0.0,na,Antilocapridae,Pronghorn,10.0,,x,[100]
Antrozous pallidus,GCA_027563665.1,representative genome,na,PRJNA868156,SAMN30225125,JAOAOB000000000.1,9440,9440,na,TK200870,latest,Chromosome,Major,Full,2023-01-09,DD_ASM_mAP_20210503,Bat1K,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/563/665/GCA_027563665.1_DD_ASM_mAP_20210503,na,na,haploid,vertebrate_mammalian,2126443499.0,2120558822.0,43.0,23.0,92.0,92.0,Bat1K,Annotation submitted by Bat1K,,0.0,0.0,0.0,na,Vespertilionidae,Pallid bat,9.1,,x,[182]
Aotus trivirgatus,GCA_963574785.1,representative genome,na,PRJEB67744,SAMEA14464397,CAUYRR000000000.1,9505,9505,na,JPB134,latest,Scaffold,Major,Full,2023-11-01,PGDP_AotTri,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/785/GCA_963574785.1_PGDP_AotTri,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,134599.0,134599.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Night/owl monkey,12.0,,x,[100]
Aplodontia rufa,GCA_004027875.1,representative genome,na,PRJNA399342,SAMN07678037,PVKS000000000.1,51342,51342,na,BS102,latest,Scaffold,Major,Full,2019-01-16,AplRuf_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/875/GCA_004027875.1_AplRuf_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,40.5,0.0,1279526.0,1279526.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Aplodontidae,Mountain beaver,6.0,,x,[100]
Apodemus sylvaticus,GCA_947179515.1,representative genome,na,PRJEB56948,SAMEA7702024,CAMXCG000000000.1,10129,10129,na,na,latest,Chromosome,Major,Full,2022-10-28,mApoSyl1.1,WELLCOME SANGER INSTITUTE,GCF_947179515.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/179/515/GCA_947179515.1_mApoSyl1.1,na,na,haploid,vertebrate_mammalian,,,41.0,25.0,497.0,497.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Wood mouse,,4.0,x,[100]
Arctocebus calabarensis,GCA_963573935.1,representative genome,na,PRJEB67744,SAMEA112482903,CAUYON000000000.1,261739,261739,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_ArcCal,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/935/GCA_963573935.1_PGDP_ArcCal,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,213811.0,213811.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Lorisidae,Golden potto,,12.2,x,[104]
Arctocephalus gazella,GCA_900642305.1,representative genome,na,PRJEB30577,SAMEA4666125,CAAAJK000000000.1,37190,37190,na,na,latest,Scaffold,Major,Full,2019-02-08,arcGaz3,LMU,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/642/305/GCA_900642305.1_arcGaz3,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,5180.0,5180.0,LMU,Annotation submitted by LMU,,0.0,0.0,0.0,na, ,Antarctic fur seal (+),13.0,,m,[192]
Artibeus jamaicensis,GCA_021234435.1,representative genome,na,PRJNA751559,SAMN21509358,JAIVGF000000000.1,9417,9417,breed=Jamaican fruit bat,MK-2021,latest,Scaffold,Major,Full,2021-12-20,CSHL_Jam_final,CSHL,GCF_021234435.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/234/435/GCA_021234435.1_CSHL_Jam_final,na,na,haploid,vertebrate_mammalian,2108389339.0,2108389270.0,42.0,0.0,867.0,867.0,CSHL,Annotation submitted by CSHL,,0.0,0.0,0.0,na, ,Neotropical fruit bat (+),,10.0,x,[143]
Ateles belzebuth,GCA_963573605.1,representative genome,na,PRJEB67744,SAMEA14464399,CAUYMA000000000.1,9507,9507,na,JPB105,latest,Scaffold,Major,Full,2023-10-31,PGDP_AteBel,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/605/GCA_963573605.1_PGDP_AteBel,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,110868.0,110868.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,White-bellied spider monkey,,28.0, ,[104]
Ateles paniscus,GCA_963573985.1,representative genome,na,PRJEB67744,SAMEA14464413,CAUYLY000000000.1,9510,9510,na,TRO682,latest,Scaffold,Major,Full,2023-10-31,PGDP_AtePan,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/985/GCA_963573985.1_PGDP_AtePan,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,98070.0,98070.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Black spider monkey (+),20.0,,x,[100]
Axis porcinus,GCA_003798545.1,representative genome,na,PRJNA475327,SAMN09386826,QQTR00000000.1,57737,57737,na,Zoohd001,latest,Scaffold,Major,Full,2018-11-20,ASM379854v1,Novogene Bioinformatics Technology Corporation,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/545/GCA_003798545.1_ASM379854v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,136093.0,136093.0,Novogene Bioinformatics Technology Corporation,Annotation submitted by Novogene Bioinformatics Technology Corporation,,0.0,0.0,0.0,na, ,Hog deer,,20.0,x,[100]
Balaenoptera acutorostrata,GCA_949987535.1,representative genome,na,PRJEB61579,SAMEA111380540,CATLKF000000000.1,9767,9767,na,na,latest,Chromosome,Major,Full,2023-05-01,mBalAcu1.1,WELLCOME SANGER INSTITUTE,GCF_949987535.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/987/535/GCA_949987535.1_mBalAcu1.1,na,na,haploid,vertebrate_mammalian,,,41.5,22.0,1374.0,1374.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na,Balaenopteridae,Minke whale,50.0,,x,[100]
Balaenoptera musculus,GCA_009873245.3,representative genome,na,PRJNA554522,SAMN12287136,VNFC00000000.3,9771,9771,na,JJ_BM4_2016_0621,latest,Chromosome,Major,Full,2020-10-02,mBalMus1.pri.v3,G10K,GCF_009873245.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/873/245/GCA_009873245.3_mBalMus1.pri.v3,na,na,haploid,vertebrate_mammalian,,,41.0,23.0,105.0,105.0,G10K,Annotation submitted by G10K,,0.0,0.0,0.0,na, ,Blue whale,45.0,,x,[21]
Balaenoptera physalus,GCA_023338255.1,representative genome,na,PRJNA740292,SAMN19897699,JAHXJN000000000.1,9770,9770,na,8025,latest,Scaffold,Major,Full,2022-05-11,SBiKF_Bphy_ph2,Senckenberg BiK-F,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/338/255/GCA_023338255.1_SBiKF_Bphy_ph2,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,13140.0,13140.0,Senckenberg BiK-F,Annotation submitted by Senckenberg BiK-F,,0.0,0.0,0.0,35512360, ,Fin whale,116.0,,x,[21]
Bison bonasus,GCA_963879515.1,representative genome,na,PRJEB71066,SAMEA114863253,CAWOGG000000000.1,9902,9902,na,na,latest,Scaffold,Major,Full,2023-12-17,ETH_BisBon1,ETH ZURICH,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/879/515/GCA_963879515.1_ETH_BisBon1,na,na,haploid,vertebrate_mammalian,,,43.5,0.0,210.0,210.0,ETH ZURICH,Annotation submitted by ETH ZURICH,,0.0,0.0,0.0,na, ,European bison,27.0,,x,[100]
Bos gaurus,GCA_014182915.2,representative genome,na,PRJNA325061,SAMN05558794,JACAOC000000000.1,9904,9904,na,Gaur_Henry_Doorly_Zoo_5443,latest,Chromosome,Major,Full,2020-08-14,ARS_UOA_Gaur_1.1,"USDA, ARS, USMARC",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/182/915/GCA_014182915.2_ARS_UOA_Gaur_1.1,na,na,haploid,vertebrate_mammalian,,,42.0,29.0,634.0,634.0,"USDA, ARS, USMARC","Annotation submitted by USDA, ARS, USMARC",,0.0,0.0,0.0,na, ,Seladang,,26.2,x,[143]
Bos grunniens,GCA_005887515.3,representative genome,na,PRJNA540974,SAMN11569574,VBZB00000000.1,30521,30521,ecotype=maiwa,yakHY00,latest,Chromosome,Minor,Full,2019-06-10,BosGru3.1,Lanzhou University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/887/515/GCA_005887515.3_BosGru3.1,na,na,haploid,vertebrate_mammalian,,,42.0,31.0,343.0,343.0,Lanzhou University,Annotation submitted by Lanzhou University,,0.0,0.0,0.0,33944937, ,Yak,25.0,,f,[101]
Bos taurus,GCA_002263795.4,representative genome,na,PRJNA391427,SAMN03145444,NKLS00000000.2,9913,9913,breed=Hereford,L1 Dominette 01449 registration number 42190680,latest,Chromosome,Minor,Full,2023-07-01,ARS-UCD2.0,USDA ARS,GCF_002263795.3,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/795/GCA_002263795.4_ARS-UCD2.0,na,na,haploid,vertebrate_mammalian,,,42.0,31.0,1957.0,1957.0,USDA ARS,Annotation submitted by USDA ARS,,0.0,0.0,0.0,na, ,Domestic cattle (+),,20.0,x,[229]
Bubalus depressicornis,GCA_025584935.1,representative genome,na,PRJNA849775,SAMN29133250,JAMXBS000000000.1,27596,27596,na,ANT3,latest,Scaffold,Major,Full,2022-10-05,MNHNYannick_LA_1,Museum national d'Histoire naturelle,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/584/935/GCA_025584935.1_MNHNYannick_LA_1,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,147450.0,147450.0,Museum national d'Histoire naturelle,Annotation submitted by Museum national d'Histoire naturelle,,0.0,0.0,0.0,36111873, ,Lowland anoa,30.0,,x,[100]
Budorcas taxicolor,GCA_023091745.2,representative genome,na,PRJNA776710,SAMN22814979,JAKGDW000000000.1,37181,37181,na,Tak-1,latest,Chromosome,Minor,Full,2022-04-22,Takin1.1,Northwest A&F University,GCF_023091745.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/091/745/GCA_023091745.2_Takin1.1,na,na,haploid,vertebrate_mammalian,,,43.5,27.0,1362.0,1362.0,Northwest A&F University,Annotation submitted by Northwest A&F University,,0.0,0.0,0.0,na, ,Takin,,15.8,x,[143]
Cacajao calvus,GCA_963573955.1,representative genome,na,PRJEB67744,SAMEA14464418,CAUYLL000000000.1,30596,30596,na,Masto283,latest,Scaffold,Major,Full,2023-10-31,PGDP_CacCal,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/955/GCA_963573955.1_PGDP_CacCal,na,na,haploid,vertebrate_mammalian,,,40.5,0.0,80849.0,80849.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Bald uakari (+),18.0,,x,[100]
Cacajao melanocephalus,GCA_963573385.1,representative genome,na,PRJEB67744,SAMEA14464439,CAUYLG000000000.1,70825,70825,na,CCM017,latest,Scaffold,Major,Full,2023-11-01,PGDP_CacMel,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/385/GCA_963573385.1_PGDP_CacMel,na,na,haploid,vertebrate_mammalian,,,40.5,0.0,79251.0,79251.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Black-headed uakari (+),12.0,,x,[100]
Callimico goeldii,GCA_963573925.1,representative genome,na,PRJEB67744,SAMEA112482891,CAUYOR000000000.1,9495,9495,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CalGoe,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/925/GCA_963573925.1_PGDP_CalGoe,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,197517.0,197517.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Callimiconidae,Goeldi’s monkey (+),,9.0,x,[100]
Callithrix jacchus,GCA_011100555.2,representative genome,na,PRJNA597600,SAMN12368443,JAALXP000000000.2,9483,9483,na,mCalJac1,latest,Chromosome,Major,Full,2021-04-28,mCalJa1.2.pat.X,Vertebrate Genomes Project,GCF_011100555.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/100/555/GCA_011100555.2_mCalJa1.2.pat.X,na,na,haploid,vertebrate_mammalian,,,41.0,24.0,1233.0,1233.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na, ,Common marmoset (+),10.0,,x,[100]
Callorhinus ursinus,GCA_003265705.1,representative genome,na,PRJNA475116,SAMN09379881,QLOG00000000.1,34884,34884,na,GAN/ISIS: 27379988/994484,latest,Scaffold,Major,Full,2018-06-26,ASM326570v1,Canada's Genomics Enterprise,GCF_003265705.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/265/705/GCA_003265705.1_ASM326570v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,14229.0,52954.0,Canada's Genomics Enterprise,Annotation submitted by Canada's Genomics Enterprise,,0.0,0.0,0.0,na, ,Northern fur seal,30.0,,x,[9]
Camelus dromedarius,GCA_000803125.3,representative genome,na,PRJNA269274,SAMN03252735,JWIN00000000.3,9838,9838,breed=African,Drom800,latest,Chromosome,Major,Full,2019-10-07,CamDro3,Vetmeduni Vienna,GCF_000803125.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/803/125/GCA_000803125.3_CamDro3,na,na,haploid,vertebrate_mammalian,,,41.5,37.0,21069.0,21069.0,Vetmeduni Vienna,Annotation submitted by Vetmeduni Vienna,,22223.0,22223.0,0.0,30972949,Camelidae,"Dromedary, one-humped camel",40.0,,x,[100]
Camelus ferus,GCA_009834535.1,representative genome,na,PRJNA550024,SAMN12102236,VSZR00000000.1,419612,419612,na,YT-003-E,latest,Chromosome,Major,Full,2020-01-08,BCGSAC_Cfer_1.0,The Bactrian Camels Genome Sequencing and Analysis Consortium,GCF_009834535.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/834/535/GCA_009834535.1_BCGSAC_Cfer_1.0,na,na,haploid,vertebrate_mammalian,2087077296.0,2086842796.0,41.5,37.0,2042.0,2042.0,The Bactrian Camels Genome Sequencing and Analysis Consortium,Annotation submitted by The Bactrian Camels Genome Sequencing and Analysis Consortium,,0.0,0.0,0.0,32012460, ,Bactrian camel (+),35.0,,x,[21]
Canis latrans,GCA_034620425.1,representative genome,na,PRJNA953635,SAMN34121417,JARVCQ000000000.1,9614,9614,na,coyote_06102,latest,Chromosome,Major,Full,2023-12-27,Cla-1,Texas A&M University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/620/425/GCA_034620425.1_Cla-1,na,na,haploid,vertebrate_mammalian,,,41.0,39.0,120.0,120.0,Texas A&M University,Annotation submitted by Texas A&M University,,0.0,0.0,0.0,na, ,Coyote,14.5,21.8,x,[13] [90] [143] [153]
Capra aegagrus,GCA_000978405.1,representative genome,na,PRJNA261263,SAMN03282421,JXYW00000000.1,9923,9923,na,BamuBGIKM,latest,Chromosome,Major,Full,2015-04-24,CapAeg_1.0,BGI,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/405/GCA_000978405.1_CapAeg_1.0,na,na,haploid,vertebrate_mammalian,,,42.0,31.0,89498.0,368693.0,BGI,Annotation submitted by BGI,,0.0,0.0,0.0,na, ,Wild goat,12.0,,x,[100]
Capra ibex,GCA_006410555.1,representative genome,na,PRJNA438286,SAMN08714504,SJYO00000000.1,72542,72542,na,IBX-bsy,latest,Scaffold,Major,Full,2019-06-24,IBX,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/410/555/GCA_006410555.1_IBX,na,na,haploid,vertebrate_mammalian,,,42.5,0.0,55914.0,55914.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Ibex,,22.3,x,[143]
Capreolus capreolus,GCA_951849835.1,representative genome,na,PRJEB61062,SAMEA112852577,CATOUS000000000.1,9858,9858,na,na,latest,Contig,Major,Full,2023-07-15,ETH_CapCap1,ETH ZURICH,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/951/849/835/GCA_951849835.1_ETH_CapCap1,na,na,haploid,vertebrate_mammalian,,,42.5,0.0,212.0,212.0,ETH ZURICH,Annotation submitted by ETH ZURICH,,0.0,0.0,0.0,na, ,Roe deer,15.0,,x,[100]
Capricornis sumatraensis,GCA_032405125.1,representative genome,na,PRJNA1002856,SAMN36864952,na,34865,34865,na,serow.1,latest,Chromosome,Major,Full,2023-10-05,ASM3240512v1,Northwest A&F University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/405/125/GCA_032405125.1_ASM3240512v1,na,na,haploid,vertebrate_mammalian,,,42.0,17.0,17.0,17.0,Northwest A&F University,Annotation submitted by Northwest A&F University,,0.0,0.0,0.0,na, ,Serow,,21.0,x,[100]
