organism_name,assembly_accession,refseq_category,excluded_from_refseq,bioproject,biosample,wgs_master,taxid,species_taxid,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,Order/Family,Common Name,Wild,Capt.,M/F,Reference,total-length,spanned-gaps,unspanned-gaps,region-count,scaffold-count,scaffold-N50,scaffold-L50,scaffold-N75,scaffold-N90,contig-count,contig-N50,contig-L50,total-gap-length,molecule-count,top-level-count,component-count,gc-perc
Alouatta caraya,GCA_963575295.1,representative genome,na,PRJEB67744,SAMEA14464362,CAUYUD000000000.1,9502,9502,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_AloCar,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/295/GCA_963575295.1_PGDP_AloCar,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,182811.0,182811.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Cebidae,Black and gold howler,,20.3, ,[104],2646563014,3179,0,0,182811,32393,23500,16076,7020,184628,32391,23502,192513,0,182811,182811,41
Alouatta palliata,GCA_004027835.1,representative genome,na,PRJNA399372,SAMN07678036,PVKV000000000.1,30589,30589,na,BS02,latest,Scaffold,Major,Full,2019-01-16,AloPal_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/835/GCA_004027835.1_AloPal_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,1136565.0,1136565.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Mantled howler (+),20.0,,x,[38] [81] [100] [269],3033617595,16130,0,0,1136565,72427,11068,25074,977,1152695,51304,15704,1613000,0,1136565,1136565,3033617595
Antechinus flavipes,GCA_016432865.2,representative genome,na,PRJNA565840,SAMN16807749,JADWMD000000000.1,38775,38775,"ecotype=Samford, QLD, Australia",AdamAnt,latest,Chromosome,Minor,Full,2021-01-06,AdamAnt_v2,Nanjing Normal University,GCF_016432865.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/432/865/GCA_016432865.2_AdamAnt_v2,na,na,haploid,vertebrate_mammalian,,,36.0,7.0,485.0,485.0,Nanjing Normal University,Annotation submitted by Nanjing Normal University,,0.0,0.0,0.0,na, ,Yellow-footed marsupial mouse,1.0,,m,[100],3192643918.0,618.0,0.0,0.0,485.0,636717922.0,3.0,486195733.0,264590327.0,1103.0,51843704.0,16.0,309000.0,7.0,485.0,485.0,36.0
Antechinus flavipes,GCF_016432865.1,representative genome,na,PRJNA769689,SAMN16807749,JADWMD000000000.1,38775,38775,"ecotype=Samford, QLD, Australia",AdamAnt,latest,Chromosome,Major,Full,2021-01-06,AdamAnt_v2,Nanjing Normal University,GCA_016432865.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/432/865/GCF_016432865.1_AdamAnt_v2,na,na,haploid,vertebrate_mammalian,,,36.0,7.0,485.0,485.0,NCBI RefSeq,GCF_016432865.1-RS_2023_02,,27226.0,20412.0,4502.0,na, ,Yellow-footed marsupial mouse,1.0,,m,[100],3192661299.0,618.0,0.0,0.0,486.0,636717922.0,3.0,486195733.0,264590327.0,1104.0,51843704.0,16.0,309000.0,8.0,486.0,486.0,36.0
Antechinus stuartii,GCA_016696395.1,representative genome,na,PRJNA664282,SAMN16204884,JACYGW000000000.1,9283,9283,na,AWGG2019M,latest,Scaffold,Major,Full,2021-01-15,USYD_AStu_M,University of Sydney,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/696/395/GCA_016696395.1_USYD_AStu_M,na,na,haploid,vertebrate_mammalian,,,36.0,0.0,30796.0,106199.0,University of Sydney,Annotation submitted by University of Sydney,,0.0,0.0,0.0,na, ,Brown antechinus,0.9,,m,[192] [261],3307090682,75403,0,0,30796,72733491,14,31182548,9140864,106199,77883,12151,90529670,0,30796,106199,36
Antidorcas marsupialis,GCA_006408585.1,representative genome,na,PRJNA438286,SAMN08714490,SJYB00000000.1,59523,59523,na,SGB-9149,latest,Scaffold,Major,Full,2019-06-24,SGB,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/585/GCA_006408585.1_SGB,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,94522.0,94522.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Springbok,20.0,,x,[100],3024612899,105083,0,0,94522,694905,1300,325630,62613,199605,42749,19543,217199151,0,94522,94522,42
Antilocapra americana,GCA_007570785.1,representative genome,na,PRJNA526246,SAMN11091591,SRVM00000000.1,9891,9891,na,GAN:MWC17-00274,latest,Scaffold,Major,Full,2019-07-12,GSC_phorn_1.0,Canada's Genomic Enterprise,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/570/785/GCA_007570785.1_GSC_phorn_1.0,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,22440.0,48443.0,Canada's Genomic Enterprise,Annotation submitted by Canada's Genomic Enterprise,,0.0,0.0,0.0,na,Antilocapridae,Pronghorn,10.0,,x,[100],2509063228.0,26003.0,0.0,0.0,22443.0,18739554.0,38.0,8133933.0,2263311.0,48446.0,220431.0,3148.0,49559752.0,1.0,22443.0,48446.0,41.5
Antrozous pallidus,GCA_027563665.1,representative genome,na,PRJNA868156,SAMN30225125,JAOAOB000000000.1,9440,9440,na,TK200870,latest,Chromosome,Major,Full,2023-01-09,DD_ASM_mAP_20210503,Bat1K,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/563/665/GCA_027563665.1_DD_ASM_mAP_20210503,na,na,haploid,vertebrate_mammalian,2126443499.0,2120558822.0,43.0,23.0,92.0,92.0,Bat1K,Annotation submitted by Bat1K,,0.0,0.0,0.0,na,Vespertilionidae,Pallid bat,9.1,,x,[182],2126460045.0,233.0,0.0,0.0,93.0,114648712.0,8.0,87307183.0,60205001.0,326.0,41887785.0,17.0,5884677.0,24.0,93.0,93.0,43.0
Aotus trivirgatus,GCA_963574785.1,representative genome,na,PRJEB67744,SAMEA14464397,CAUYRR000000000.1,9505,9505,na,JPB134,latest,Scaffold,Major,Full,2023-11-01,PGDP_AotTri,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/785/GCA_963574785.1_PGDP_AotTri,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,134599.0,134599.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Night/owl monkey,12.0,,x,[100],2593699054,607,0,0,134599,38033,20124,20019,9881,135032,38029,20125,30147,0,134599,134599,41
Aplodontia rufa,GCA_004027875.1,representative genome,na,PRJNA399342,SAMN07678037,PVKS000000000.1,51342,51342,na,BS102,latest,Scaffold,Major,Full,2019-01-16,AplRuf_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/875/GCA_004027875.1_AplRuf_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,40.5,0.0,1279526.0,1279526.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Aplodontidae,Mountain beaver,6.0,,x,[100],3005535537,7253,0,0,1279526,37811,19816,8656,653,1286779,33245,22825,725300,0,1279526,1279526,3005535537
Apodemus sylvaticus,GCA_947179515.1,representative genome,na,PRJEB56948,SAMEA7702024,CAMXCG000000000.1,10129,10129,na,na,latest,Chromosome,Major,Full,2022-10-28,mApoSyl1.1,WELLCOME SANGER INSTITUTE,GCF_947179515.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/179/515/GCA_947179515.1_mApoSyl1.1,na,na,haploid,vertebrate_mammalian,,,41.0,25.0,497.0,497.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Wood mouse,,4.0,x,[100],2889801511.0,1129.0,0.0,0.0,498.0,120938251.0,9.0,89840071.0,63776737.0,1627.0,4449850.0,199.0,225617.0,26.0,498.0,498.0,41.0
Apodemus sylvaticus,GCF_947179515.1,representative genome,na,PRJNA899886,SAMEA7702024,CAMXCG000000000.1,10129,10129,na,na,latest,Chromosome,Major,Full,2022-10-28,mApoSyl1.1,WELLCOME SANGER INSTITUTE,GCA_947179515.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/179/515/GCF_947179515.1_mApoSyl1.1,na,na,haploid,vertebrate_mammalian,,,41.0,25.0,497.0,497.0,NCBI RefSeq,GCF_947179515.1-RS_2023_02,,34626.0,22444.0,5647.0,na, ,Wood mouse,,4.0,x,[100],2889785202.0,1129.0,0.0,0.0,497.0,120938251.0,9.0,89840071.0,63776737.0,1626.0,4449850.0,199.0,225617.0,25.0,497.0,497.0,41.0
Arctocebus calabarensis,GCA_963573935.1,representative genome,na,PRJEB67744,SAMEA112482903,CAUYON000000000.1,261739,261739,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_ArcCal,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/935/GCA_963573935.1_PGDP_ArcCal,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,213811.0,213811.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Lorisidae,Golden potto,,12.2,x,[104],2674773647,325,0,0,213811,24469,31878,12530,6032,214040,24464,31881,15359,0,213811,213811,41
Arctocephalus gazella,GCA_900642305.1,representative genome,na,PRJEB30577,SAMEA4666125,CAAAJK000000000.1,37190,37190,na,na,latest,Scaffold,Major,Full,2019-02-08,arcGaz3,LMU,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/642/305/GCA_900642305.1_arcGaz3,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,5180.0,5180.0,LMU,Annotation submitted by LMU,,0.0,0.0,0.0,na, ,Antarctic fur seal (+),13.0,,m,[192],2313585684,8793,0,0,5180,139181869,7,107010620,89850982,13973,537425,1237,12726968,0,5180,5180,41
Artibeus jamaicensis,GCA_021234435.1,representative genome,na,PRJNA751559,SAMN21509358,JAIVGF000000000.1,9417,9417,breed=Jamaican fruit bat,MK-2021,latest,Scaffold,Major,Full,2021-12-20,CSHL_Jam_final,CSHL,GCF_021234435.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/234/435/GCA_021234435.1_CSHL_Jam_final,na,na,haploid,vertebrate_mammalian,2108389339.0,2108389270.0,42.0,0.0,867.0,867.0,CSHL,Annotation submitted by CSHL,,0.0,0.0,0.0,na, ,Neotropical fruit bat (+),,10.0,x,[143],2108389339,3,0,0,867,22092642,28,9231338,3964699,870,22092642,28,69,0,867,867,42
Artibeus jamaicensis,GCF_021234435.1,representative genome,na,PRJNA933142,SAMN21509358,JAIVGF000000000.1,9417,9417,breed=Jamaican fruit bat,MK-2021,latest,Scaffold,Major,Full,2021-12-20,CSHL_Jam_final,CSHL,GCA_021234435.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/234/435/GCF_021234435.1_CSHL_Jam_final,na,na,haploid,vertebrate_mammalian,2108389339.0,2108389270.0,42.0,0.0,867.0,867.0,NCBI RefSeq,GCF_021234435.1-RS_2023_03,,29413.0,19344.0,4876.0,9847413, ,Neotropical fruit bat (+),,10.0,x,[143],2108405990,3,0,0,868,22092642,28,9231338,3964699,871,22092642,28,69,1,868,868,42
Ateles belzebuth,GCA_963573605.1,representative genome,na,PRJEB67744,SAMEA14464399,CAUYMA000000000.1,9507,9507,na,JPB105,latest,Scaffold,Major,Full,2023-10-31,PGDP_AteBel,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/605/GCA_963573605.1_PGDP_AteBel,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,110868.0,110868.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,White-bellied spider monkey,,28.0, ,[104],2589204212,840,0,0,110868,51919,14646,27021,13025,111455,51917,14646,41664,0,110868,110868,41
Ateles paniscus,GCA_963573985.1,representative genome,na,PRJEB67744,SAMEA14464413,CAUYLY000000000.1,9510,9510,na,TRO682,latest,Scaffold,Major,Full,2023-10-31,PGDP_AtePan,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/573/985/GCA_963573985.1_PGDP_AtePan,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,98070.0,98070.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Black spider monkey (+),20.0,,x,[100],2597420066,1672,0,0,98070,58589,13028,30833,15056,99037,58585,13029,104901,0,98070,98070,41
Axis porcinus,GCA_003798545.1,representative genome,na,PRJNA475327,SAMN09386826,QQTR00000000.1,57737,57737,na,Zoohd001,latest,Scaffold,Major,Full,2018-11-20,ASM379854v1,Novogene Bioinformatics Technology Corporation,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/545/GCA_003798545.1_ASM379854v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,136093.0,136093.0,Novogene Bioinformatics Technology Corporation,Annotation submitted by Novogene Bioinformatics Technology Corporation,,0.0,0.0,0.0,na, ,Hog deer,,20.0,x,[100],2676163295,32173,0,0,136093,20764858,39,9655276,2936272,168266,172761,4294,40316294,0,136093,136093,2676163295
Balaenoptera acutorostrata,GCA_949987535.1,representative genome,na,PRJEB61579,SAMEA111380540,CATLKF000000000.1,9767,9767,na,na,latest,Chromosome,Major,Full,2023-05-01,mBalAcu1.1,WELLCOME SANGER INSTITUTE,GCF_949987535.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/987/535/GCA_949987535.1_mBalAcu1.1,na,na,haploid,vertebrate_mammalian,,,41.5,22.0,1374.0,1374.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na,Balaenopteridae,Minke whale,50.0,,x,[100],2772901778.0,1177.0,0.0,0.0,1375.0,116513105.0,10.0,87037118.0,2642000.0,2552.0,3015723.0,275.0,235400.0,23.0,1375.0,1375.0,41.5
Balaenoptera acutorostrata,GCF_949987535.1,representative genome,na,PRJNA986088,SAMEA111380540,CATLKF000000000.1,9767,9767,na,na,latest,Chromosome,Major,Full,2023-05-01,mBalAcu1.1,WELLCOME SANGER INSTITUTE,GCA_949987535.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/949/987/535/GCF_949987535.1_mBalAcu1.1,na,na,haploid,vertebrate_mammalian,,,41.5,22.0,1374.0,1374.0,NCBI RefSeq,GCF_949987535.1-RS_2023_06,,29837.0,20286.0,5498.0,na,Balaenopteridae,Minke whale,50.0,,x,[100],2772885358.0,1177.0,0.0,0.0,1374.0,116513105.0,10.0,87037118.0,2642000.0,2551.0,3015723.0,275.0,235400.0,22.0,1374.0,1374.0,41.5
Balaenoptera musculus,GCA_009873245.3,representative genome,na,PRJNA554522,SAMN12287136,VNFC00000000.3,9771,9771,na,JJ_BM4_2016_0621,latest,Chromosome,Major,Full,2020-10-02,mBalMus1.pri.v3,G10K,GCF_009873245.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/873/245/GCA_009873245.3_mBalMus1.pri.v3,na,na,haploid,vertebrate_mammalian,,,41.0,23.0,105.0,105.0,G10K,Annotation submitted by G10K,,0.0,0.0,0.0,na, ,Blue whale,45.0,,x,[21],2374868944.0,867.0,0.0,0.0,106.0,110314666.0,9.0,90635089.0,79663398.0,973.0,6315640.0,103.0,25937074.0,24.0,106.0,106.0,41.0
Balaenoptera musculus,GCF_009873245.2,representative genome,na,PRJNA607322,SAMN12287136,VNFC00000000.3,9771,9771,na,JJ_BM4_2016_0621,latest,Chromosome,Major,Full,2020-10-02,mBalMus1.pri.v3,G10K,GCA_009873245.3,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/873/245/GCF_009873245.2_mBalMus1.pri.v3,na,na,haploid,vertebrate_mammalian,,,41.0,23.0,105.0,105.0,NCBI RefSeq,NCBI Balaenoptera musculus Annotation Release 100,,27194.0,19686.0,4527.0,8308901;15475160;8412655;15008398, ,Blue whale,45.0,,x,[21],2374868943.0,867.0,0.0,0.0,106.0,110314666.0,9.0,90635089.0,79663398.0,973.0,6315640.0,103.0,25937074.0,24.0,106.0,106.0,41.0
Balaenoptera physalus,GCA_023338255.1,representative genome,na,PRJNA740292,SAMN19897699,JAHXJN000000000.1,9770,9770,na,8025,latest,Scaffold,Major,Full,2022-05-11,SBiKF_Bphy_ph2,Senckenberg BiK-F,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/338/255/GCA_023338255.1_SBiKF_Bphy_ph2,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,13140.0,13140.0,Senckenberg BiK-F,Annotation submitted by Senckenberg BiK-F,,0.0,0.0,0.0,35512360, ,Fin whale,116.0,,x,[21],2410646746,30896,0,0,13140,24939677,27,14958115,4314910,44036,146061,4659,40980740,0,13140,13140,41
Bison bonasus,GCA_963879515.1,representative genome,na,PRJEB71066,SAMEA114863253,CAWOGG000000000.1,9902,9902,na,na,latest,Scaffold,Major,Full,2023-12-17,ETH_BisBon1,ETH ZURICH,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/879/515/GCA_963879515.1_ETH_BisBon1,na,na,haploid,vertebrate_mammalian,,,43.5,0.0,210.0,210.0,ETH ZURICH,Annotation submitted by ETH ZURICH,,0.0,0.0,0.0,na, ,European bison,27.0,,x,[100],3071717034.0,38.0,0.0,0.0,210.0,104743180.0,13.0,68199151.0,53014653.0,248.0,91242619.0,13.0,50298.0,0.0,210.0,210.0,43.5
Bos gaurus,GCA_014182915.2,representative genome,na,PRJNA325061,SAMN05558794,JACAOC000000000.1,9904,9904,na,Gaur_Henry_Doorly_Zoo_5443,latest,Chromosome,Major,Full,2020-08-14,ARS_UOA_Gaur_1.1,"USDA, ARS, USMARC",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/182/915/GCA_014182915.2_ARS_UOA_Gaur_1.1,na,na,haploid,vertebrate_mammalian,,,42.0,29.0,634.0,634.0,"USDA, ARS, USMARC","Annotation submitted by USDA, ARS, USMARC",,0.0,0.0,0.0,na, ,Seladang,,26.2,x,[143],2717349581.0,2192.0,0.0,0.0,635.0,104471907.0,11.0,72908424.0,60314847.0,2827.0,13340585.0,61.0,219173.0,30.0,635.0,635.0,42.0
